(zlayer, spritesheet/parentmode, blending) spriteBatchNodeZOrder

(-5, 5, true) -1480
(-5, 5, false) -1480
(-5, 8, false) -1430
(-5, 8, true) -1430
(-5, 6, true) -1400
(-5, 6, false) -1400
(-5, 1, false) -1360
(-5, 1, true) -1360
(-5, 3, false) -1320
(-5, 3, true) -1320
(-5, 2, false) -1300
(-5, 2, true) -1300
(-5, 4, true) -1260
(-5, 4, false) -1260
(-5, 0, true) -1220
(-5, 0, false) -1220
(-5, 7, true) -1220
(-5, 7, false) -1220
(-3, 5, false) -1180
(-3, 5, true) -1180
(-3, 8, false) -1130
(-3, 8, true) -1130
(-3, 6, false) -1100
(-3, 6, true) -1100
(-3, 1, false) -1060
(-3, 1, true) -1060
(-3, 3, true) -1020
(-3, 3, false) -1020
(-3, 2, false) -1000
(-3, 2, true) -1000
(-3, 4, true) -960
(-3, 4, false) -960
(-3, 7, false) -920
(-3, 7, true) -920
(-3, 0, true) -920
(-3, 0, false) -920
(-1, 5, false) -880
(-1, 5, true) -880
(-1, 8, false) -830
(-1, 8, true) -830
(-1, 6, false) -800
(-1, 6, true) -800
(-1, 1, false) -760
(-1, 1, true) -760
(-1, 3, true) -720
(-1, 3, false) -720
(-1, 2, false) -700
(-1, 2, true) -700
(-1, 4, true) -660
(-1, 4, false) -660
(-1, 0, false) -620
(-1, 0, true) -620
(-1, 7, false) -620
(-1, 7, true) -620
(1, 5, true) -580
(1, 5, false) -580
(1, 8, true) -530
(1, 8, false) -530
(1, 6, false) -500
(1, 6, true) -500
(1, 1, true) -460
(1, 1, false) -460
(1, 3, true) -420
(1, 3, false) -420
(1, 2, false) -400
(1, 2, true) -400
(1, 4, true) -360
(1, 4, false) -360
(1, 0, false) -320
(1, 0, true) -320
(1, 7, true) -320
(1, 7, false) -320
(3, 5, true) -280
(3, 5, false) -280
(3, 8, false) -224
(3, 8, true) -224
(3, 6, false) -200
(3, 6, true) -200
(3, 1, false) -160
(3, 1, true) -160
(3, 3, false) -120
(3, 3, true) -120
(3, 2, false) -100
(3, 2, true) -100
(3, 4, false) -60
(3, 4, true) -60
(3, 7, true) -20
(3, 0, false) -20
(3, 0, true) -20
(3, 7, false) -20
(5, 5, true) 120
(5, 5, false) 120
(5, 8, false) 154
(5, 8, true) 154
(5, 6, true) 180
(5, 6, false) 180
(5, 1, true) 220
(5, 1, false) 220
(5, 3, true) 260
(5, 3, false) 260
(5, 2, true) 280
(5, 2, false) 280
(5, 4, true) 320
(5, 4, false) 320
(5, 7, true) 360
(5, 7, false) 360
(5, 0, true) 360
(5, 0, false) 360
(7, 5, true) 410
(7, 5, false) 410
(7, 8, false) 454
(7, 8, true) 454
(7, 6, false) 480
(7, 6, true) 480
(7, 1, false) 520
(7, 1, true) 520
(7, 3, false) 560
(7, 3, true) 560
(7, 2, false) 580
(7, 2, true) 580
(7, 4, false) 620
(7, 4, true) 620
(7, 7, true) 660
(7, 0, true) 660
(7, 0, false) 660
(7, 7, false) 660
(11, 5, false) 1010
(11, 5, true) 1010
(11, 8, false) 1070
(11, 8, true) 1070
(11, 6, true) 1100
(11, 6, false) 1100
(11, 1, false) 1160
(11, 1, true) 1160
(11, 3, false) 1220
(11, 3, true) 1220
(11, 2, false) 1260
(11, 2, true) 1260
(11, 4, false) 1300
(11, 4, true) 1300
(11, 7, false) 1340
(11, 0, false) 1340
(11, 0, true) 1340
(11, 7, true) 1340
